judul	bahan	langkah
ayam suwir sambal matah	paha ayam, bawang putih, geprek, jahe, geprek, daun salam, garam, cabe rawit hijau, iris halus, cabe merah keriting, iris halus, bawang merah, iris halus, daun jeruk, iris halus, sereh, iris halus, lada, garam, sedap, minyak panas	rebus ayam serta bumbu rebus. masak air susut matang ayam disuwirsuwir. campur bumbu sambal matah. siram minyak panas. aduk. masuk suwir ayam bumbu sambal matah. aduk. koreksi. angkat saji
homemade chicken luncheon	paha dada ayam fillet, putih telur, bawang putih, bombay, bubuk angkak, lada, garam, kecap asin, kecap ikan, kaldu bubuk, gula, minyak goreng rose brand, maizena rose brand	siap bahan bahan halus bawang putih bawang bombay. campur bahan kecuali maizena minyak goreng rose brand pasti campur tekstur halus. masuk tepung maizena minyak goreng rose brand aduk. lupa koreksi goreng adon. tuang loyang yg alas kertas nasi kukus menit hitung air didih matang. biar dingin potong potong. chicken luncheon langsung santap. goreng. simpan freezer
luncheon ayam	paha ayam fillet, putih telur, bawang putih halus, bawang bombay halus, , angkak powder pakai, merica bubuk, garam, kecap asin, kecap ikan, micin asatu rose brand kaldu bubuk sdtgr, gula rosebrand, minyak goreng rose brand, maizena rose brand, minyak gorengmentega rose brand goreng	siap bahan. ayam segar wajib masuk freezer minimal jam hasil kenyal adon tdk lembek masuk bahan kecuali maizena minyak goreng. giling halus note bawang bombai bawang putih halus hasil padat rongga. halus masuk minyak goreng maizena halus. pasti adon benarbenar halus. ambil pan sebentar koreksi. rasa pas tuang loyangmangkuk tahan panas oles minyak alas baking papper dasar padat tekan sencok spatula. panas kukus. sdh didih masuk luncheon kukus menit angkat keluar dr cetak. biar suhu ruangset iris sesuai selera langsung konsumsi panggang margarin
homemade chicken lucheon	paha ayam fillet, putih telur, bawang putih, bawang bombay, angkak powder, merica bubuk, garam, kecap asin, kecap, kecap ikan, kaldu bubuk, gula pasir rose brand, tepung maizena rose brand, minyak goreng rose brand	siap bahan fillet paha ayam segar masuk freezer minimal jam potong. bawang putih bawang bombay halus. sisih. tata cooper fillet paha ayam. masuk bawang putih bawang bombai halus. angkak powder. putih telur bumbu cooper halus. tambah tepung maizena rose brand. cooper bahan halus. siap loyang. oles minyak goreng rose brand baking paper dasar loyang tuang adon lucheon loyang rata. tusuk keluar udara yg perangkap rata. panas kukus kukus lucheon menit matang angkat keluar loyang lepas baking paper. lucheon tdk panas iris sesuai selera langsung nikmat simpan chiller freezer simpan makan pan dgn minyak rose brand goreng dgn minyak nikmat
chicken luncheon	paham ayam fillet, putih telur, bawang putih, cincang halus, bawang bombay cincang halus, angkak powder, merica bubuk, garam, gula pasir rosebrand, kecap ikan, kecap asin, sedap, minyak goreng, tepung maizena rosebrand	siap bahan. chopper bahan bentuk pasta kental minyak tepung maizena jgn masuk dalam chopper. adon pasta masuk maizena minyak chopper campur. tuang loyang datarsy pakai thinwall kukus menit. kukus panas. tampak nya enak gurih padat kenyal
lumpia ayam roll	daging paha ayam fillet, btr telur, wortel, daun bawang, bawang putih, garam lada, lada, saus tiram, terigu, air, lembar kulit lumpia, minyak goreng	masuk daging ayam. wortel. daun bawang. bumbu blender halus. ambil adon. letak atas kulit lumpia. lipat gulung. bahan lap bagi ujung. rapih bocor. goreng minyak api golden brown angkat. sisih saji saus sambal cabai rawit
garang asem ayam	ayam, pakai sayap, lembar daun salam, ruas jari lengkuas, buah tomat, buah belimbing wuluh, bawang merah, bawang putih, sachet santan, sy pakai merk kara, garam, gula sedap, cabe rawit	potong daun pisang sesuai butuh lap daun pisang. menggunakn tisu. cuci bersih ayam. tiris. cuci bersih lengkuas. daun salam. cabe rawit. bawang merah. bawang putih. tomat belimbing wuluh iris. tumis bahan harum. tambah santan air. masuk tomat. belimbing wuluh ayam garam. gula sedap. aduk mati api. tata ayam bumbu daun pisang. bungkus. kukus ayam garang asem menit hidang
chicken pok pok gluten free	gram ayam, bawan putih, garam, lada bubuk, sendok makan tepung kanj, gram tepung beras, sendok makan munjung bawang bombai bubuk, sendok teh paprika bubuk, sendok makan kaldu jamur organik	cuci ayam potong kecilkecil. halus baput. garam. lada bubuk. marinasi ayam bumbu halus. sisih. campur bawang bombai bubuk. kaldu jamur bubuk. garam. paprika bubuk. lada bubuk. adon basah daei tepung kanji sendok makan campur bumbu kering. adon kering tepung beras campur bumbu kering. masuk ayam adon basah masuk adon kering. goreng ayam matang. chicken pok pok saji
sosis ayam homemade	fillet paha ayam, lemak ayam, putih telur beku, es batu, baking powder, tapioka, gula, kaldu bubuk, garam, lada bubuk, garlic powder	masuk ayam. lemak ayam es batu halus masuk bahan kecuali tapioka baking powder mix campur masuk tapioka baking powder campur. siap selongsong sosis uk mm tali ikat sosis. masuk adon plastik segitiga potong ujung plastik segi masuk dalam lubang selongsong tekan adon perlahan rongga isi angin. isi selongsong otomatis panjang selesai. uruttekan sosis pijat rata adon. ukur sosis sesuai selera ikat tali siap. tusuk sosis yg sdh ikat jarum keluar gelembung udara dalam sosis panas air buih didih c panas rebus sosis rawan pecah air panas masuk sosis otomatis kembang. rebus menit. tekan sosis kenyal tanda sdh matang. angkat dalam wadah isi air es lambat proses pematang sosis bantu selongsong tempel sosis sdh dingin angkat tiris langsung saji goreng. panggang sesuai selera
jeroan krispi kentucky jeroan ayam	jeroan ayam, garam, lembar daun salam, ruas lengkuas, tepung terigu, tepung tapioka, kaldu bubuk, garam, baking soda, air, baking soda	cuci bersih jeroan. rebus matang garam. daun salam. lengkuas. angkat tiris proses rebus gak foto. campur bahan kering. aduk. campur bahan celup. aduk. guling jeroan bahan kering. celup celup. guling bahan kering. goreng minyak panas. minyak. tiris. saji
